key_CLM5PPE,param,minmax,include,parameter domain,parameter category,parameter description,key_coupledPPE,key_landonlyPPE,notes
OAAT0159,kmax,min,yes,Vegetation,Plant hydraulics,Plant segment max conductance,COUP0026,OFFL0026,
OAAT0160,kmax,max,yes,Vegetation,Plant hydraulics,Plant segment max conductance,COUP0027,OFFL0027,
OAAT0171,nstem,min,yes,Vegetation,Biomass heat storage,Stem number; number of individuals per meter squared (similar to stocking number) [#/m2],COUP0028,OFFL0028,
OAAT0172,nstem,max,yes,Vegetation,Biomass heat storage,Stem number; number of individuals per meter squared (similar to stocking number) [#/m2],COUP0029,OFFL0029,
OAAT0355,lmrha,min,yes,Vegetation,Plant temperature acclimation,activation energy for lmr,COUP0030,OFFL0030,
OAAT0356,lmrha,max,yes,Vegetation,Plant temperature acclimation,activation energy for lmr,COUP0031,OFFL0031,
OAAT0400,medlynslope,min,yes,Vegetation,Plant stomatal conductance and water use efficiency,Medlyn slope of conductance-photosynthesis relationship,COUP0032,OFFL0032,
OAAT0403,jmaxb0,min,yes,Vegetation,Plant photosynthetic capacity,the baseline proportion of nitrogen allocated for electron transport (J),COUP0033,OFFL0033,
OAAT0413,medlynintercept,max,yes,Vegetation,Plant stomatal conductance and water use efficiency,Medlyn intercept of conductance-photosynthesis relationship,COUP0034,OFFL0034,
OAAT0458,sand_pf,min,yes,Soil and surface water,Soil and surface water hydrology,Perturbation factor (via addition) for percent sand (percent),COUP0035,OFFL0035,
OAAT0459,sand_pf,max,yes,Soil and surface water,Soil and surface water hydrology,Perturbation factor (via addition) for percent sand (percent),COUP0036,OFFL0036,
OAAT0023,z0mr,min,yes,Vegetation,Land surface roughness / aerodynamic resistance,Ratio of momentum roughness length to canopy top height,COUP0003,OFFL0003,
OAAT0024,z0mr,max,yes,Vegetation,Land surface roughness / aerodynamic resistance,Ratio of momentum roughness length to canopy top height,COUP0004,OFFL0004,
OAAT0033,zsno,min,yes,Snow,Land surface roughness / aerodynamic resistance,Momentum roughness length for snow,COUP0005,OFFL0005,
OAAT0034,zsno,max,yes,Snow,Land surface roughness / aerodynamic resistance,Momentum roughness length for snow,COUP0006,OFFL0006,
OAAT0042,zetamaxstable,min,yes,,Land surface roughness / aerodynamic resistance,"Max value zeta (""height"" used in Monin-Obukhov theory) can go to under stable conditions. Setting this value prevents the surface from becoming too stable at night, which suppresses mixing and contributes to cold nighttime temperature bias.",COUP0011,OFFL0011,
OAAT0043,zetamaxstable,max,yes,,Land surface roughness / aerodynamic resistance,"Max value zeta (""height"" used in Monin-Obukhov theory) can go to under stable conditions. Setting this value prevents the surface from becoming too stable at night, which suppresses mixing and contributes to cold nighttime temperature bias.",COUP0012,OFFL0012,
